,@type,@context,name,numberOfRooms,url,floorSize.@type,floorSize.@context,floorSize.value,address.@type,address.@context,address.streetAddress,address.addressLocality,address.addressRegion,address.postalCode,geo.@type,geo.@context,geo.latitude,geo.longitude,Type:,Year built:,Heating:,Cooling:,Parking:,HOA:,Price/sqft:,listing_desc,Lot:,Interior details,Bedrooms: ,Bathrooms: ,Full bathrooms: ,3/4 bathrooms: ,1/2 bathrooms: ,Utilities / Green Energy Details,Internet and tv: ,Sunscore: ,Sun Number™:,1/4 bathrooms: ,Construction details
11,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Lexington Heritage Plan, The Summit At Stonemill, Elizabethtown, PA 17022'}",{0: 5},{0: '/community/summit-at-stonemill/2086089339_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '3,903'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Lexington Heritage Plan, The Summit at Stonemill'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.109898},{0: -76.630493},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$116'},"{0: ""The Lexington gives you lots of space to live comfortably and entertain! The open floorplan features an eat-in Kitchen with walk-in pantry and Breakfast Area, Family Room, Study, and formal Dining Room. The large, first-floor Owner's Suite has 2 walk-in closets and a full private bath. An oversized 2-car Garage leads into the large Laundry Room with walk-in closet. A Loft, 4 additional bedrooms with walk-in closets, and a full bath complete the second floor.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '5'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
12,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: '840 Westbrooke Dr, Elizabethtown, PA 17022'}",{0: 4},{0: '/homedetails/840-Westbrooke-Dr-Elizabethtown-PA-17022/306952519_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '2,530'}",{0: 'PostalAddress'},{0: 'http://schema.org'},{0: '840 Westbrooke Dr'},{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.140601},{0: -76.566083},{0: 'Single Family'},{0: '2020'},{0: 'Forced air'},{0: 'Central'},{0: '2 spaces'},{0: '$16/month'},{0: '$133'},"{0: 'The rockwell Model at the Meadows features a first floor master, and has 3 spacious bedrooms on the 2nd floor. The home has an open, flowing floor plan with a formal dining room, living room and a family room that can be viewed from the kitchen. You can overlook the family room from the 2nd floor hallway. Gas heat, granite and hardwood in the foyer are just a few of the features in this home. Includes a limited time of $5000 seller assist. This home is to be built.'}","{0: '10,018 sqft'}",,,,,,,,,,,,
13,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Nottingham Heritage Plan, The Summit At Stonemill, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/summit-at-stonemill/2086089344_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '3,624'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Nottingham Heritage Plan, The Summit at Stonemill'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.109898},{0: -76.630493},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$117'},"{0: ""The Nottingham features a 2-story Family Room open to the eat-in Kitchen with walk-in pantry and Breakfast Area. The spacious Owner's Suite is located on the first floor, with 2 walk-in closets and full Bathroom. A Study, formal Dining Room, Powder Room, Laundry Room, and 2-car garage complete the first level. The hallway upstairs overlooks the Family Room below. An optional Bonus Room is located over the Owner's Suite. 3 additional Bedrooms with walk-in closets and a full Bath are on the second floor.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
14,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Augusta Manor Plan, The Summit At Stonemill, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/summit-at-stonemill/2086089342_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '2,781'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Augusta Manor Plan, The Summit at Stonemill'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.109898},{0: -76.630493},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$146'},"{0: ""The Augusta features an open floorplan and first-floor Owner's Suite. An eat-in Kitchen and Breakfast Area are open to the Family Room. The Owner's Suite has a full bath and large walk-in closet. A Study and formal Dining Room are off the front Foyer. The Laundry Room leads to a 2-car Garage. A Loft Area, full bath, and 3 additional bedrooms with walk-in closets are located upstairs.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
15,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: '15 Bullrush Lndg, Elizabethtown, PA 17022'}",{0: 4},{0: '/homedetails/15-Bullrush-Lndg-Elizabethtown-PA-17022/54223613_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '3,377'}",{0: 'PostalAddress'},{0: 'http://schema.org'},{0: '15 Bullrush Lndg'},{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.126561},{0: -76.609293},{0: 'Single Family'},{0: '2001'},{0: 'Forced air'},{0: 'Central'},{0: '6 spaces'},{0: '$10/month'},{0: '$104'},"{0: ""Amazing curb appeal in Victoria's Pond development! This 4 bedroom, 2.5 bath home has so many upgrades. As soon as you walk through the front door there is a grand stair case and open foyer. Beautiful hardwood flooring flows into the living room and formal dining room with crown molding and chair rail. The sunken family room is the show stopper in the home with gas fireplace, 2 story ceiling, windows and french doors from floor to ceiling that flood the room with natural light, and access to the decks. The kitchen and huge breakfast area also feature hardwood floors, doors to the covered deck, loads of cabinet space in the kitchen that includes a breakfast bar, large pantry, and built in desk. This space has an open railing and dramatic views into the family room. The first floor is rounded out with a laundry room and powder room. The second floor bedrooms are all spacious and feature ceiling fans in each room. The master suite is truly a getaway for the owners with over-sized walk in closet and bath with double sinks, corner whirlpool tub, and separate shower. Although you may already want to make this home yours, it has even more to offer! The finished lower level features an exercise room that would also make a great office space, a den that is the man cave you have always wanted and a separate sunken game room that is currently being used as a pool room (pool table is negotiable). Doors lead directly out back to the hot tub that is only a year old and the perfect place to unwind after a long day! If you are looking for a place to enjoy the outdoors with your family and friends, look no further than your backyard. Multiple decks, including a covered deck off the the kitchen offer space to grill and get together. The half acre lot is bordered by a small creek and has room to run and play. With a convenient location, tons of storage, and so much to offer, this may just be the home you have always dreamed about!""}",{0: '0.51 acres'},,,,,,,,,,,,
16,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Samson Manor Plan, Bishop Woods, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/bishop-woods/2089025604_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '3,192'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Samson Manor Plan, Bishop Woods'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.156046},{0: -76.659386},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$140'},{0: '9 ft. First Floor Ceilings'},{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
17,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Kensington Plan, Creekside Meadows, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/creekside-meadows/2089065096_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '3,288'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Kensington Plan, Creekside Meadows'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.201221},{0: -76.643147},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: '2 spaces'},,{0: '$165'},"{0: ""What's not to love about this house?. This innovative first-floor living design features airy open living space. A handy entry into the home from the garage leads to the 2-story great room hosting a wall of windows. The spacious kitchen with bar seating and pantry is adjacent to the sun-filled breakfast area, perfect for enjoying your morning coffee. The laundry room and extra powder room is located next to the main living space. (Pricing may reflect limited-time savings/incentives. See Community Sales Manager for details.)""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
18,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: '10 Evelyn Dr Lot 6, Elizabethtown, PA 17022'}",{0: None},{0: '/homedetails/10-Evelyn-Dr-LOT-6-Elizabethtown-PA-17022/2078380176_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},{0: None},{0: 'PostalAddress'},{0: 'http://schema.org'},{0: '10 Evelyn Dr LOT 6'},{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.203245},{0: -76.629542},,,,,,,,{0: 'Listing Agent'},,,,,,,,{0: 'Utility'},,,,,
19,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: '111-111113 Heisey Ave, Elizabethtown, PA 17022'}",{0: 0},{0: '/homedetails/111-111113-Heisey-Ave-Elizabethtown-PA-17022/2078382794_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '1,984'}",{0: 'PostalAddress'},{0: 'http://schema.org'},{0: '111-111113 Heisey Ave'},{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.130007},{0: -76.57163},{0: 'Multi Family'},{0: '1916'},{0: 'No Data'},{0: 'Other'},{0: 'No Data'},,{0: '$121'},"{0: 'Great Investment Opportunity to Own a Fully Leased Two Unit In Elizabethtown. Tenants pay all utilities and is separate metered. Recently remodeled with updated appliances, carpet, paint, hardwood floors and more. Located in the School District of Elizabethtown in West Donegal Township. Gross Income $23,678.00, NOI $18,981.00.'}",,,,,,,,,,,,,
20,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Lexington Heritage Plan, Bishop Woods, Elizabethtown, PA 17022'}",{0: 5},{0: '/community/bishop-woods/2089025574_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '3,903'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Lexington Heritage Plan, Bishop Woods'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.156046},{0: -76.659386},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$125'},"{0: ""The Lexington gives you lots of space to live comfortably and entertain! The open floorplan features an eat-in Kitchen with walk-in pantry and Breakfast Area, Family Room, Study, and formal Dining Room. The large, first-floor Owner's Suite has 2 walk-in closets and a full private bath. An oversized 2-car Garage leads into the large Laundry Room with walk-in closet. A Loft, 4 additional bedrooms with walk-in closets, and a full bath complete the second floor.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '5'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
21,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Winterbrooke Plan, Creekside Meadows, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/creekside-meadows/2089065098_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '4,369'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Winterbrooke Plan, Creekside Meadows'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.201221},{0: -76.643147},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: '2 spaces'},,{0: '$139'},"{0: ""A distinguished, elegant home with curb appeal that doesn't stop at the exterior.. The inside of this generously appointed home could only be described as stunning and grand. This 4 bedroom, 3-½ bath home exudes opulence. A formal living room with optional fireplace and dining room with optional tray ceiling flank the foyer upon entering the home. The large kitchen, with plenty of cabinet and counter space including a center island and large pantry, opens to the sunlit breakfast area and huge family room with optional cozy gas fireplace. A private study at the back of the home allows for the work-at-home professional. The 2nd floor boasts spacious closets for every bedroom, a laundry room, and a grand owner's suite with incredible closet, sitting room, and private bath. (Pricing may reflect limited time savings/incentives. See Community Sales Manager for details.)""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '4'},{0: '3'},{0: '0'},{0: '1'},,,,,,
