address,city,state,postal_code,price,facts and features,real estate provider,url,title
,Lititz,PA,17543,"$456,900+","4 bds, 4.0 ba ,2906 sqft",Garman Builders,https://www.zillow.com/community/lititz-bend/2082369752_zpid/,New construction
,Lititz,PA,17543,"$374,900","2 bds, 2.0 ba ,2149 sqft",Traditions Realty,https://www.zillow.com/homedetails/1076-Constitution-Dr-Lititz-PA-17543/2084965999_zpid/,New construction
,Lititz,PA,17543,"$585,990+","4 bds, 3.0 ba ,3054 sqft",Garman Builders,https://www.zillow.com/community/lititz-bend/2081513490_zpid/,New construction
,Lititz,PA,17543,"$328,900","3 bds, 3.0 ba ,1746 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/365-English-Ivy-Dr-140-Lititz-PA-17543/2078652779_zpid/,New construction
,Lititz,PA,17543,"$321,900","4 bds, 2.0 ba ,2696 sqft",Kingsway Realty,https://www.zillow.com/homedetails/208-Audrey-Dr-Lititz-PA-17543/54239505_zpid/,House for sale
,Lititz,PA,17543,,"5 bds, 5.0 ba ,3392 sqft",,https://www.zillow.com/homedetails/31-Red-Oak-Dr-Lititz-PA-17543/54253065_zpid/,Pre-foreclosure / Auction
,Lititz,PA,17543,"$344,900","5 bds, 3.0 ba ,2778 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/101-E-Market-St-Lititz-PA-17543/83188319_zpid/,House for sale
,Lititz,PA,17543,,"4 bds, 2.0 ba ,2337 sqft",Auction.com,https://www.zillow.com/homedetails/159-Sego-Sago-Rd-Lititz-PA-17543/9780745_zpid/,Auction
,Lititz,PA,17543,"$239,900","4 bds, 3.0 ba ,3184 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/325-E-Meadow-Valley-Rd-Lititz-PA-17543/2078900354_zpid/,House for sale
,Lititz,PA,17543,,"3 bds, 1.0 ba ,994 sqft",,https://www.zillow.com/homedetails/446-W-Marion-St-Lititz-PA-17543/9750236_zpid/,Pre-foreclosure / Auction
,Lititz,PA,17543,"$865,000","4 bds, 5.0 ba ,6223 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/671-Bent-Creek-Dr-Lititz-PA-17543/9762228_zpid/,House for sale
,Lititz,PA,17543,"$415,000","2 bds, 2.0 ba ,1795 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/432-Resolution-Dr-Lititz-PA-17543/296641828_zpid/,House for sale
,Lititz,PA,17543,"$825,000","4 bds, 7.0 ba ,5933 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/514-Wellesley-Ct-Lititz-PA-17543/54234036_zpid/,House for sale
,Lititz,PA,17543,"$619,000","5 bds, 3.0 ba ,4249 sqft",Mountain Realty,https://www.zillow.com/homedetails/524-Snyder-Rd-Lititz-PA-17543/67575589_zpid/,House for sale
,Lititz,PA,17543,"$389,900","4 bds, 3.0 ba ,3014 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/308-Royal-Hunt-Way-Lititz-PA-17543/9754118_zpid/,House for sale
,Lititz,PA,17543,"$565,000","7 bds, 6.0 ba ,4426 sqft",Dennis E. Beck Real Estate,https://www.zillow.com/homedetails/301-N-Broad-St-Lititz-PA-17543/9750815_zpid/,House for sale
,Lititz,PA,17543,"$649,900","4 bds, 4.0 ba ,4081 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/14-Sensenich-Dr-Lititz-PA-17543/83187470_zpid/,House for sale
,Lititz,PA,17543,,"4 bds, 2.5 ba ,1778 sqft",,https://www.zillow.com/homedetails/110-Ridgefield-Way-Lititz-PA-17543/60184322_zpid/,Pre-foreclosure / Auction
,Lititz,PA,17543,"$875,000","5 bds, 6.0 ba ,5104 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/679-Goose-Neck-Dr-Lititz-PA-17543/54234200_zpid/,House for sale
,Lititz,PA,17543,"$875,000","5 bds, 6.0 ba ,4432 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/801-Greenside-Dr-Lititz-PA-17543/83186628_zpid/,House for sale
,Lititz,PA,17543,"$254,800","3 bds, 2.0 ba ,1540 sqft",RE/MAX Pinnacle,https://www.zillow.com/homedetails/12-Ridge-Rd-Lititz-PA-17543/54251962_zpid/,House for sale
,Lititz,PA,17543,"$285,000","4 bds, 3.0 ba ,2752 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/32-Diane-Ave-Lititz-PA-17543/54251678_zpid/,House for sale
,Lititz,PA,17543,"$215,000","3 bds, 2.0 ba ,1876 sqft",Kingsway Realty,https://www.zillow.com/homedetails/52-Pebble-Creek-Dr-Lititz-PA-17543/54253826_zpid/,House for sale
,Lititz,PA,17543,"$398,000","4 bds, 3.0 ba ,2376 sqft",Keller Williams Platinum Realty,https://www.zillow.com/homedetails/2985-Tiffany-Dr-Lititz-PA-17543/9755618_zpid/,House for sale
,Lititz,PA,17543,"$389,900","4 bds, 3.0 ba ,3014 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/308-Royal-Hunt-Way-Lititz-PA-17543/9754118_zpid/,House for sale
,Lititz,PA,17543,"$164,900","3 bds, 2.0 ba ,1299 sqft","Weichert, Realtors- Welcome Home",https://www.zillow.com/homedetails/118-Noble-St-Lititz-PA-17543/9750629_zpid/,Apartment for sale
,Lititz,PA,17543,"$1,595,000","4 bds, 4.0 ba ,6124 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/115-Millwyck-Rd-Lititz-PA-17543/54253087_zpid/,House for sale
,Lititz,PA,17543,"$334,900","3 bds, 3.0 ba ,2200 sqft",Iron Valley Real Estate of Berks,https://www.zillow.com/homedetails/601-W-Orange-St-Lititz-PA-17543/54254979_zpid/,House for sale
,Lititz,PA,17543,"$499,900","5 bds, 5.0 ba ,4380 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/304-E-Newport-Rd-Lititz-PA-17543/54253379_zpid/,House for sale
,Lititz,PA,17543,"$850,000","4 bds, 6.0 ba ,5952 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/664-Goose-Neck-Dr-Lititz-PA-17543/54234403_zpid/,House for sale
,Lititz,PA,17543,"$695,000","5 bds, 3.0 ba ,4850 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/600-Randolph-Dr-Lititz-PA-17543/9753828_zpid/,House for sale
,Lititz,PA,17543,"$324,995","3 bds, 3.0 ba ,1666 sqft",,https://www.zillow.com/homedetails/690-Sue-Dr-Lititz-PA-17543/54251146_zpid/,For sale by owner
,Lititz,PA,17543,"$899,999","4 bds, 5.0 ba ,4733 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/699-Goose-Neck-Dr-Lititz-PA-17543/83187458_zpid/,House for sale
,Lititz,PA,17543,"$625,000","4 bds, 5.0 ba ,5085 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/22-Lakeland-Ct-Lititz-PA-17543/54233669_zpid/,House for sale
,Lititz,PA,17543,"$239,900","4 bds, 3.0 ba ,3184 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/325-E-Meadow-Valley-Rd-Lititz-PA-17543/2078900354_zpid/,House for sale
,Lititz,PA,17543,"$1,574,250","5 bds, 10.0 ba ,9271 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/555-Stonehenge-Dr-Lititz-PA-17543/9753822_zpid/,House for sale
,Lititz,PA,17543,"$619,000","5 bds, 3.0 ba ,4249 sqft",Mountain Realty,https://www.zillow.com/homedetails/524-Snyder-Rd-Lititz-PA-17543/67575589_zpid/,House for sale
,Lititz,PA,17543,"$344,900","5 bds, 3.0 ba ,2778 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/101-E-Market-St-Lititz-PA-17543/83188319_zpid/,House for sale
,Lititz,PA,17543,"$321,900","4 bds, 2.0 ba ,2696 sqft",Kingsway Realty,https://www.zillow.com/homedetails/208-Audrey-Dr-Lititz-PA-17543/54239505_zpid/,House for sale
,Lititz,PA,17543,"$565,000","7 bds, 6.0 ba ,4426 sqft",Dennis E. Beck Real Estate,https://www.zillow.com/homedetails/301-N-Broad-St-Lititz-PA-17543/9750815_zpid/,House for sale
,Lititz,PA,17543,"$649,900","4 bds, 4.0 ba ,4081 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/14-Sensenich-Dr-Lititz-PA-17543/83187470_zpid/,House for sale
,Lititz,PA,17543,"$599,999","4 bds, 5.0 ba ,5182 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/300-Sarsen-Dr-Lititz-PA-17543/67575596_zpid/,House for sale
,Lititz,PA,17543,"$865,000","4 bds, 5.0 ba ,6223 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/671-Bent-Creek-Dr-Lititz-PA-17543/9762228_zpid/,House for sale
,Lititz,PA,17543,,"4 bds, 2.0 ba ,2337 sqft",Auction.com,https://www.zillow.com/homedetails/159-Sego-Sago-Rd-Lititz-PA-17543/9780745_zpid/,Auction
,Lititz,PA,17543,"$725,000","4 bds, 3.0 ba ,4925 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/26-Brookside-Ct-Lititz-PA-17543/9753924_zpid/,House for sale
,Lititz,PA,17543,"$669,900","5 bds, 5.0 ba ,3990 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/679-Bent-Creek-Dr-Lititz-PA-17543/54234385_zpid/,House for sale
,Lititz,PA,17543,"$1,299,000","5 bds, 6.0 ba ,7031 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/381-Sarsen-Dr-Lititz-PA-17543/9762546_zpid/,House for sale
,Lititz,PA,17543,"$700,000","4 bds, 4.0 ba ,4277 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/340-Royal-Hunt-Way-Lititz-PA-17543/87896402_zpid/,House for sale
,Lititz,PA,17543,"$1,200,000","1 bds, 2.0 ba ,1400 sqft",,https://www.zillow.com/homedetails/48-N-Broad-St-UNIT-404-Lititz-PA-17543/2080230886_zpid/,For sale by owner
,Lititz,PA,17543,"$875,000","5 bds, 6.0 ba ,4432 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/801-Greenside-Dr-Lititz-PA-17543/83186628_zpid/,House for sale
,Lititz,PA,17543,"$724,900","7 bds, 8.0 ba ,5000 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/62-E-Main-St-Lititz-PA-17543/2109018533_zpid/,House for sale
,Lititz,PA,17543,"$825,000","4 bds, 7.0 ba ,5933 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/514-Wellesley-Ct-Lititz-PA-17543/54234036_zpid/,House for sale
,Lititz,PA,17543,"$925,000","3 bds, 6.0 ba ,6890 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/770-Bent-Creek-Dr-Lititz-PA-17543/54234279_zpid/,House for sale
,Lititz,PA,17543,"$875,000","5 bds, 6.0 ba ,5104 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/679-Goose-Neck-Dr-Lititz-PA-17543/54234200_zpid/,House for sale
,Lititz,PA,17543,"$799,900","5 bds, 5.0 ba ,5153 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/28-Pintail-Turn-Lititz-PA-17543/9762388_zpid/,House for sale
,Lititz,PA,17543,"$949,900","5 bds, 5.0 ba ,4986 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/688-Bent-Creek-Dr-Lititz-PA-17543/87897060_zpid/,House for sale
,Lititz,PA,17543,"$949,000","4 bds, 5.0 ba ,3591 sqft",RE/MAX Pinnacle,https://www.zillow.com/homedetails/1002-N-Bristol-Dr-Lititz-PA-17543/2082756502_zpid/,New construction
,Lititz,PA,17543,"$803,990","4 bds, 4.0 ba ,4301 sqft",Garman Builders,https://www.zillow.com/homedetails/1062-Valley-Crossing-Dr-Lititz-PA-17543/249067501_zpid/,New construction
,Lititz,PA,17543,"$1,500,000","5 bds, 2.0 ba ,3040 sqft",Iron Valley Real Estate of Lancaster,https://www.zillow.com/homedetails/369-W-Woods-Dr-Lititz-PA-17543/246006065_zpid/,House for sale
,Lititz,PA,17543,"$775,000","4 bds, 5.0 ba ,5215 sqft",Lusk & Associates Sotheby's International Realty,https://www.zillow.com/homedetails/609-Goose-Neck-Dr-Lititz-PA-17543/54233702_zpid/,House for sale
,Manheim,PA,17545,"$309,900","3 bds, 3.0 ba ,2180 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/984-Hossler-Rd-Manheim-PA-17545/54243177_zpid/,House for sale
,Manheim,PA,17545,"$214,900","3 bds, 2.0 ba ,1374 sqft",Dennis E. Beck Real Estate,https://www.zillow.com/homedetails/750-Heather-Rdg-Manheim-PA-17545/83187248_zpid/,Apartment for sale
,Manheim,PA,17545,"$314,900","4 bds, 3.0 ba ,2172 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/4031-Cranberry-St-Manheim-PA-17545/71987613_zpid/,House for sale
,Manheim,PA,17545,"$439,000","4 bds, 4.0 ba ,4349 sqft",RE/MAX Pinnacle,https://www.zillow.com/homedetails/3264-Back-Run-Rd-Manheim-PA-17545/58758260_zpid/,House for sale
,Manheim,PA,17545,"$335,500","4 bds, 3.0 ba ,2333 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/519-Madison-Way-LOT-31-Manheim-PA-17545/2078334613_zpid/,New construction
,Manheim,PA,17545,"$276,900+","3 bds, 3.0 ba ,1612 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170286_zpid/,New construction
,Manheim,PA,17545,"$309,900+","4 bds, 3.0 ba ,2197 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170283_zpid/,New construction
,Manheim,PA,17545,"$183,500","0 bds, None ba ,1580 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/12-1214-W-Gramby-St-Manheim-PA-17545/2078382779_zpid/,Apartment for sale
,Manheim,PA,17545,"$313,900+","4 bds, 3.0 ba ,2273 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170282_zpid/,New construction
,Manheim,PA,17545,"$307,400+","3 bds, 2.0 ba ,1675 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170280_zpid/,New construction
,Manheim,PA,17545,"$290,900+","3 bds, 2.0 ba ,1675 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170290_zpid/,New construction
,Manheim,PA,17545,"$234,900","4 bds, 2.0 ba ,1776 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/113-Fruitville-Pike-Manheim-PA-17545/54239400_zpid/,House for sale
,Manheim,PA,17545,"$320,900+","4 bds, 3.0 ba ,2380 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170288_zpid/,New construction
,Manheim,PA,17545,,"4 bds, 2.0 ba ,1982 sqft",,https://www.zillow.com/homedetails/55-Maibach-Ln-Manheim-PA-17545/246004996_zpid/,Pre-foreclosure / Auction
,Manheim,PA,17545,"$299,900","3 bds, 3.0 ba ,1698 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-N-Pitt-St-LOT-4-Manheim-PA-17545/2078472925_zpid/,New construction
,Manheim,PA,17545,"$299,900","3 bds, 3.0 ba ,1698 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-N-Pitt-St-LOT-3-Manheim-PA-17545/2078474074_zpid/,New construction
,Manheim,PA,17545,"$324,900+","4 bds, 3.0 ba ,2446 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170287_zpid/,New construction
,Manheim,PA,17545,"$318,900+","4 bds, 3.0 ba ,2355 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170289_zpid/,New construction
,Manheim,PA,17545,"$300,900+","4 bds, 3.0 ba ,2046 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170281_zpid/,New construction
,Manheim,PA,17545,"$314,900+","3 bds, 3.0 ba ,1783 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170285_zpid/,New construction
,Manheim,PA,17545,,"2 bds, 1.0 ba ,1064 sqft",,https://www.zillow.com/homedetails/11-N-Laurel-St-Manheim-PA-17545/9763177_zpid/,Pre-foreclosure / Auction
,Manheim,PA,17545,"$299,900","3 bds, 3.0 ba ,3073 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/16-N-Penryn-Rd-Manheim-PA-17545/2078712857_zpid/,House for sale
,Manheim,PA,17545,,"4 bds, None ba ,1464 sqft",Auction.com,https://www.zillow.com/homedetails/6272-Bayberry-Ave-Manheim-PA-17545/104374917_zpid/,Auction
,Manheim,PA,17545,"$229,900","0 bds, None ba ,1872 sqft","Chuck Thompson, Realtor",https://www.zillow.com/homedetails/104-N-Charlotte-St-Manheim-PA-17545/9763092_zpid/,Apartment for sale
,Manheim,PA,17545,"$324,900+","4 bds, 3.0 ba ,2538 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170279_zpid/,New construction
,Manheim,PA,17545,"$291,900+","3 bds, 2.0 ba ,1778 sqft",EGStoltzfus,https://www.zillow.com/community/barons-ridge/2081170284_zpid/,New construction
,Manheim,PA,17545,,"3 bds, 1.0 ba ,575 sqft",,https://www.zillow.com/homedetails/119-W-Ferdinand-St-Manheim-PA-17545/9763789_zpid/,Pre-foreclosure / Auction
